# patches_cabecalho.txt -- o lote de 2026-09-18 que entrou no patches.txt.
# Aprovado pelo usuario: grupo A inteiro, B e C desde que nao mexam nos 167
# quadros bons, e o par do cabecalho do frame 11.
#
# Origem: tools/cabecalho_slice.py (juiz: cabecalho valido pela norma e
# igual ao esperado -- tipo, frame_num e POC pelo ctts; deblocking 0/-1/-1,
# cabac_init 0, sem reordenacao nas constantes do filme; QP so em faixa larga).
# So entram solucoes UNICAS de 1 ou 2 bits.
#
# Verificacao antes de entrar: as imagens decodificadas dos 167 quadros bons
# (ilhas 0-10, 2333-2361, 3319-3444 e o frame 12) saem BYTE A BYTE iguais com
# o lote aplicado (serie com TARJA=1, base contra A, A+B e A+B+C).
#
# FORA do lote:
#   2361  a solucao desfaz um bit de reparo que ja esta no patches.txt
#         (77528965 2). Decisao do usuario, a parte.
#   10 quadros ambiguos (2+ solucoes): 15 79 232 858 1009 1871 (A), 1630 1772
#         2021 (C). O frame 11 era ambiguo e entrou porque o pixel decidiu.
#
# REMOVIDAS em 2026-09-18, com aprovacao do usuario: 12 linhas de 6 quadros do
# grupo B (1599, 1601, 1602, 1603, 1604, 1606). A ferramenta reconhecia IDR pelo
# byte NAL e tratou o 1595 como IDR -- ele nao e: os 9 cabecalhos legiveis de
# 1596-1610 continuam a sequencia do IDR 1582, nenhum reinicia. Essas 6
# "correcoes" trocavam frame_num/POC certos por valores contados a partir do IDR
# falso. A verificacao dos 167 nao pegou porque o trecho fica fora das ilhas.
#
# colunas: offset bit | quadro | grupo | o que o cabecalho tinha
147709 7 | 11 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0 (2 solucoes; a escolhida prediz a tarja em 16 exato)
147712 1 | 11 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0 (2 solucoes; a escolhida prediz a tarja em 16 exato)
297419 3 | 17 | A cabecalho invalido | invalido: slice_type SP/SI
297435 7 | 17 | A cabecalho invalido | invalido: slice_type SP/SI
439003 0 | 19 | B frame_num/POC/tipo errado | valido, desvia 1/0
1079640 0 | 27 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
1124879 1 | 28 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=65535 fora de [0,3]
1124880 5 | 28 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=65535 fora de [0,3]
1723117 4 | 37 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
1723120 4 | 37 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
1838592 4 | 39 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
2503404 0 | 52 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
2703749 3 | 57 | B frame_num/POC/tipo errado | valido, desvia 1/0
2989980 4 | 62 | A cabecalho invalido | invalido: num_ref_idx_l1=35 fora de [0,31]
2989981 2 | 62 | A cabecalho invalido | invalido: num_ref_idx_l1=35 fora de [0,31]
3035415 7 | 64 | A cabecalho invalido | invalido: ue com zeros demais
3035416 0 | 64 | A cabecalho invalido | invalido: ue com zeros demais
3041206 6 | 65 | B frame_num/POC/tipo errado | valido, desvia 1/0
3047410 5 | 66 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
3047410 4 | 66 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
3383411 4 | 76 | B frame_num/POC/tipo errado | valido, desvia 1/0
4020693 3 | 92 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=6 fora de [0,2]
4020694 0 | 92 | A cabecalho invalido | invalido: disable_deblocking_filter_idc=6 fora de [0,2]
4610621 1 | 107 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/2
4620011 4 | 108 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/3
4718399 3 | 112 | B frame_num/POC/tipo errado | valido, desvia 1/0
4809058 7 | 116 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
5106436 6 | 127 | B frame_num/POC/tipo errado | valido, desvia 1/2
5106438 0 | 127 | B frame_num/POC/tipo errado | valido, desvia 1/2
5307655 6 | 129 | B frame_num/POC/tipo errado | valido, desvia 1/0
5398569 3 | 132 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
5508100 0 | 137 | A cabecalho invalido | invalido: luma_log2_weight_denom=68 fora de [0,7]
5844454 0 | 148 | B frame_num/POC/tipo errado | valido, desvia 1/0
5946002 5 | 150 | B frame_num/POC/tipo errado | valido, desvia 1/0
6336598 1 | 158 | B frame_num/POC/tipo errado | valido, desvia 1/0
6387281 4 | 159 | B frame_num/POC/tipo errado | valido, desvia 1/1
6387283 2 | 159 | B frame_num/POC/tipo errado | valido, desvia 1/1
6578921 2 | 168 | B frame_num/POC/tipo errado | valido, desvia 1/0
6587593 6 | 169 | A cabecalho invalido | invalido: cabac_init_idc=6 fora de [0,2]
6673751 1 | 171 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
7326703 6 | 190 | B frame_num/POC/tipo errado | valido, desvia 1/0
7412060 3 | 193 | B frame_num/POC/tipo errado | valido, desvia 1/0
7513791 5 | 197 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
7513793 7 | 197 | A cabecalho invalido | invalido: modification_of_pic_nums_idc=5 fora de [0,3]
7657289 1 | 201 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
7861037 7 | 209 | B frame_num/POC/tipo errado | valido, desvia 1/0
8103996 0 | 214 | B frame_num/POC/tipo errado | valido, desvia 2/0
8103998 3 | 214 | B frame_num/POC/tipo errado | valido, desvia 2/0
8554838 4 | 224 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
8554842 4 | 224 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
8603865 2 | 227 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
8849530 1 | 239 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
8893608 3 | 242 | A cabecalho invalido | invalido: mmco=141685 fora de [0,6]
9181304 0 | 251 | A cabecalho invalido | invalido: ue com zeros demais
9181307 1 | 251 | A cabecalho invalido | invalido: ue com zeros demais
9195252 3 | 252 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/1
9279669 7 | 256 | B frame_num/POC/tipo errado | valido, desvia 1/0
9293129 5 | 257 | C deblocking/alpha/beta/cabac_init/refs fora do padrao | valido, desvia 0/4
9630028 3 | 269 | B frame_num/POC/tipo errado | valido, desvia 1/0
9720616 5 | 271 | B frame_num/POC/tipo errado | valido, desvia 1/0
9873002 3 | 277 | A cabecalho invalido | invalido: cabac_alignment_one_bit = 0
10220933 4 | 286 | A cabecalho invalido | invalido: ue com zeros demais
10220934 3 | 286 | A cabecalho invalido | invalido: ue com zeros demais
