# cabecalho_slice.txt -- saida de `python tools/cabecalho_slice.py`, 2026-09-18.
# NAO SAO PATCHES. Nada disto esta no patches.txt.
#
# Cada linha: quadro | estado do cabecalho hoje | solucoes de 1 ou 2 bits que
# deixam o cabecalho valido pela norma E igual ao esperado (tipo, frame_num e
# POC pelo ctts; constantes do filme). Formato das solucoes: offset bit.
#
# RESULTADO MEDIDO (mapa corrigido e serie, aplicando as solucoes UNICAS):
#
#   grupo                        quadros  unicas  efeito
#   A cabecalho invalido            443     252   157 passam a emitir imagem;
#                                                 mb sobe em 179, cai em 14
#   B valido, frame_num/POC errado  267     226   parse quase nao muda
#   C so campos incomuns            164     144   PIORA (cai 48, sobe 15) --
#                                                 "incomum" e escolha do
#                                                 codificador; controle negativo
#
#   Critério rigoroso: 209 -> 211 com o grupo A (frames 960 e 961, que dependem
#   do 958, consertado por 1 bit em cabac_init_idc). A IMAGEM DOS DOIS E
#   LISTRADA -- o GOP inteiro herda o IDR 953 borrado (armadilha 56). Ganho de
#   imagem boa: zero, como o RASTREIO.md ja registrava para os 536 candidatos de
#   frame_num/POC do cabecalhos.py.
#
# AMBIGUOS precisam do pixel: o frame 11 tem duas solucoes; a certa
# (147709 7 + 147712 1) prediz a tarja em 16 exato no MB 0, a outra
# (147707 0 + 147712 1) prediz 34 e croma 255.
#
# quadro | estado do cabecalho hoje | solucoes (offset bit [+ offset bit])
11 | invalido: cabac_alignment_one_bit = 0 | 2 solucao(oes): 147707 0 + 147712 1 ; 147709 7 + 147712 1
14 | invalido: modification_of_pic_nums_idc=16 fora de [0,3] | 0 solucao(oes): 
15 | invalido: qp=70 fora de [0,51] | 2 solucao(oes): 194111 2 + 194126 7 ; 194111 2 + 194127 5
17 | invalido: slice_type SP/SI | 1 solucao(oes): 297419 3 + 297435 7
19 | valido, desvia 1/0 | 1 solucao(oes): 439003 0
27 | valido, desvia 0/1 | 1 solucao(oes): 1079640 0
28 | invalido: modification_of_pic_nums_idc=65535 fora de [0,3] | 1 solucao(oes): 1124879 1 + 1124880 5
30 | valido, desvia 0/1 | 1 solucao(oes): 1466026 7
37 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 1723117 4 + 1723120 4
39 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 1838592 4 + 1838593 7
47 | valido, desvia 1/1 | 0 solucao(oes): 
49 | invalido: modification_of_pic_nums_idc=42 fora de [0,3] | 0 solucao(oes): 
52 | valido, desvia 0/1 | 1 solucao(oes): 2503404 0
57 | valido, desvia 1/0 | 1 solucao(oes): 2703749 3
62 | invalido: num_ref_idx_l1=35 fora de [0,31] | 1 solucao(oes): 2989980 4 + 2989981 2
63 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 0 solucao(oes): 
64 | invalido: ue com zeros demais | 1 solucao(oes): 3035415 7 + 3035416 0
65 | valido, desvia 1/0 | 1 solucao(oes): 3041206 6
66 | valido, desvia 0/1 | 1 solucao(oes): 3047410 5 + 3047410 4
76 | valido, desvia 1/0 | 1 solucao(oes): 3383411 4
79 | invalido: cabac_alignment_one_bit = 0 | 4 solucao(oes): 3435301 2 + 3435301 0 ; 3435301 2 + 3435302 1 ; 3435302 2 + 3435302 1 ; 3435302 0 + 3435303 7
80 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 0 solucao(oes): 
83 | valido, desvia 1/0 | 0 solucao(oes): 
92 | invalido: disable_deblocking_filter_idc=6 fora de [0,2] | 1 solucao(oes): 4020693 3 + 4020694 0
102 | valido, desvia 1/2 | 0 solucao(oes): 
107 | valido, desvia 0/2 | 1 solucao(oes): 4610621 1
108 | valido, desvia 0/3 | 1 solucao(oes): 4620011 4
112 | valido, desvia 1/0 | 1 solucao(oes): 4718399 3
116 | valido, desvia 0/1 | 1 solucao(oes): 4809058 7
127 | valido, desvia 1/2 | 1 solucao(oes): 5106436 6 + 5106438 0
129 | valido, desvia 1/0 | 1 solucao(oes): 5307655 6
132 | valido, desvia 0/1 | 1 solucao(oes): 5398569 3
137 | invalido: luma_log2_weight_denom=68 fora de [0,7] | 1 solucao(oes): 5508100 0
148 | valido, desvia 1/0 | 1 solucao(oes): 5844454 0
150 | valido, desvia 1/0 | 1 solucao(oes): 5946002 5
158 | valido, desvia 1/0 | 1 solucao(oes): 6336598 1
159 | valido, desvia 1/1 | 1 solucao(oes): 6387281 4 + 6387283 2
168 | valido, desvia 1/0 | 1 solucao(oes): 6578921 2
169 | invalido: cabac_init_idc=6 fora de [0,2] | 1 solucao(oes): 6587593 6
171 | valido, desvia 0/1 | 1 solucao(oes): 6673751 1
183 | invalido: qp=542138721 fora de [0,51] | 0 solucao(oes): 
190 | valido, desvia 1/0 | 1 solucao(oes): 7326703 6
193 | valido, desvia 1/0 | 1 solucao(oes): 7412060 3
194 | invalido: abs_diff_pic_num_minus1=8383 fora de [0,255] | 0 solucao(oes): 
197 | invalido: modification_of_pic_nums_idc=5 fora de [0,3] | 1 solucao(oes): 7513791 5 + 7513793 7
201 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 7657289 1
209 | valido, desvia 1/0 | 1 solucao(oes): 7861037 7
214 | valido, desvia 2/0 | 1 solucao(oes): 8103996 0 + 8103998 3
224 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 8554838 4 + 8554842 4
227 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 8603865 2
232 | invalido: disable_deblocking_filter_idc=5 fora de [0,2] | 8 solucao(oes): 8691824 4 ; 8691825 4 ; 8691827 0 ; 8691828 2 ; 8691828 1 ; 8691829 2
237 | invalido: ue com zeros demais | 0 solucao(oes): 
239 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 8849530 1
242 | invalido: mmco=141685 fora de [0,6] | 1 solucao(oes): 8893608 3
251 | invalido: ue com zeros demais | 1 solucao(oes): 9181304 0 + 9181307 1
252 | valido, desvia 0/1 | 1 solucao(oes): 9195252 3
256 | valido, desvia 1/0 | 1 solucao(oes): 9279669 7
257 | valido, desvia 0/4 | 1 solucao(oes): 9293129 5
269 | valido, desvia 1/0 | 1 solucao(oes): 9630028 3
271 | valido, desvia 1/0 | 1 solucao(oes): 9720616 5
277 | invalido: cabac_alignment_one_bit = 0 | 1 solucao(oes): 9873002 3
286 | invalido: ue com zeros demais | 1 solucao(oes): 10220933 4 + 10220934 3
287 | valido, desvia 1/1 | 1 solucao(oes): 10275625 4 + 10275626 0
295 | valido, desvia 0/1 | 1 solucao(oes): 10558814 7
301 | valido, desvia 1/1 | 1 solucao(oes): 10755696 1 + 10755700 3
305 | valido, desvia 1/0 | 1 solucao(oes): 10901282 1
310 | valido, desvia 0/1 | 1 solucao(oes): 11203968 6
324 | invalido: disable_deblocking_filter_idc=3 fora de [0,2] | 0 solucao(oes): 
330 | valido, desvia 1/0 | 1 solucao(oes): 11794858 5
335 | valido, desvia 1/0 | 1 solucao(oes): 11898708 7
336 | valido, desvia 2/0 | 1 solucao(oes): 11948010 4 + 11948011 5
339 | invalido: disable_deblocking_filter_idc=6 fora de [0,2] | 1 solucao(oes): 11991731 2
342 | valido, desvia 1/2 | 1 solucao(oes): 12086738 1 + 12086740 3
353 | valido, desvia 0/1 | 1 solucao(oes): 12479432 7
354 | valido, desvia 1/0 | 1 solucao(oes): 12521611 4
355 | valido, desvia 1/0 | 1 solucao(oes): 12530672 2
359 | invalido: mmco=10 fora de [0,6] | 0 solucao(oes): 
